,NAME,ONLINE_ORDER,BOOK_TABLE,RATE,DISH_LIKED,APPROX_COST(FOR TWO PEOPLE)
8024,Sri Lakshmi Vaibhav,Yes,No,3.7/5,"Pizza, Garlic Bread, Veg Supreme",500
8025,Rolls On Wheels,No,No,3.6/5,"Rolls, Mix Veg",200
8030,Mayura Vybhava,No,No,3.2/5,"Rolls, Mix Veg",250
8042,Nellore Mess & Tiffens,No,No,3.5/5,"Rolls, Mix Veg",200
8047,Petoo,Yes,No,3.8/5,"Rolls, Mix Veg",800
8051,New Udupi Delicacy,Yes,No,3.7/5,"Rolls, Mix Veg",300
8065,Thalassery Restaurant,Yes,No,3.1/5,"Coffee, Kerala Parotta, Thalassery Dum Biriyani, Appam, Noodles, Malabari Biryani, Thalassery Chicken Curry",500
8066,Chill,No,No,3.8/5,"Coffee, Kerala Parotta, Thalassery Dum Biriyani, Appam, Noodles, Malabari Biryani, Thalassery Chicken Curry",800
8067,Unlock - The Restobar - Keys Hotel,No,No,3.7/5,"Coffee, Kerala Parotta, Thalassery Dum Biriyani, Appam, Noodles, Malabari Biryani, Thalassery Chicken Curry",2000
8070,Bharatkhana,No,No,3.4/5,"Coffee, Kerala Parotta, Thalassery Dum Biriyani, Appam, Noodles, Malabari Biryani, Thalassery Chicken Curry",400
8076,S.M.S.Evening Fast Food,No,No,3.4/5,"Coffee, Kerala Parotta, Thalassery Dum Biriyani, Appam, Noodles, Malabari Biryani, Thalassery Chicken Curry",150
8079,Samosa Singh,Yes,No,3.2/5,"Coffee, Kerala Parotta, Thalassery Dum Biriyani, Appam, Noodles, Malabari Biryani, Thalassery Chicken Curry",250
8090,Starnese,No,No,3.4/5,"Coffee, Kerala Parotta, Thalassery Dum Biriyani, Appam, Noodles, Malabari Biryani, Thalassery Chicken Curry",800
8103,Basaveshwara Kanawali,No,No,3.5/5,"Coffee, Kerala Parotta, Thalassery Dum Biriyani, Appam, Noodles, Malabari Biryani, Thalassery Chicken Curry",250
8104,Covai Cafe,No,No,3.6/5,"Coffee, Kerala Parotta, Thalassery Dum Biriyani, Appam, Noodles, Malabari Biryani, Thalassery Chicken Curry",200
8118,Trinity Club Lounge,No,No,3.5/5,"Coffee, Kerala Parotta, Thalassery Dum Biriyani, Appam, Noodles, Malabari Biryani, Thalassery Chicken Curry",1500
